정보,설명,정보 위치(링크)
표준도면 및 도서,기타,http://intra.junglim.com:8080/KMS/KMS03011.jsp?MAP_SN=K201310020001&MAP_NM=기타&MAP_LVL=2&HIGH_SN=K201307220003&MAP_TEC_FG=C&PATH_NM=공통기술자료 > 표준도면 및 도서 > 기타
프로젝트,프로젝트 검색창,http://intra.junglim.com:8080/KMS/KMS01042.jsp?SCH_NM=
프로젝트,용도별 검색(주택),http://intra.junglim.com:8080/KMS/KMS01041.jsp?MAP_SN=K201107220007&MAP_NM=주택(단독/공동)&MAP_LVL=2&HIGH_SN=K201107220005&MAP_TEC_FG=C&PATH_NM=설계자료 > 용도별분류 > 주택(단독/공동)&MAP_PJT_FG=PJT_SRC
프로젝트,용도별 검색(근린생활시설 1종 2종),http://intra.junglim.com:8080/KMS/KMS01041.jsp?MAP_SN=K201107220008&MAP_NM=근린생활시설(1종/2종)&MAP_LVL=2&HIGH_SN=K201107220005&MAP_TEC_FG=C&PATH_NM=설계자료 > 용도별분류 > 근린생활시설(1종/2종)&MAP_PJT_FG=PJT_SRC
프로젝트,용도별 검색 (문화및집회시설),http://intra.junglim.com:8080/KMS/KMS01041.jsp?MAP_SN=K201107220066&MAP_NM=문화및집회시설&MAP_LVL=2&HIGH_SN=K201107220005&MAP_TEC_FG=C&PATH_NM=설계자료 > 용도별분류 > 문화및집회시설&MAP_PJT_FG=PJT_SRC
프로젝트,용도별 검색 (종교시설),http://intra.junglim.com:8080/KMS/KMS01041.jsp?MAP_SN=K201108100003&MAP_NM=종교시설&MAP_LVL=2&HIGH_SN=K201107220005&MAP_TEC_FG=C&PATH_NM=설계자료 > 용도별분류 > 종교시설&MAP_PJT_FG=PJT_SRC
프로젝트,용도별 검색 (판매시설),http://intra.junglim.com:8080/KMS/KMS01041.jsp?MAP_SN=K201107220067&MAP_NM=판매시설&MAP_LVL=2&HIGH_SN=K201107220005&MAP_TEC_FG=C&PATH_NM=설계자료 > 용도별분류 > 판매시설&MAP_PJT_FG=PJT_SRC
프로젝트,용도별 검색 (운수시설),http://intra.junglim.com:8080/KMS/KMS01041.jsp?MAP_SN=K201108100004&MAP_NM=운수시설&MAP_LVL=2&HIGH_SN=K201107220005&MAP_TEC_FG=C&PATH_NM=설계자료 > 용도별분류 > 운수시설&MAP_PJT_FG=PJT_SRC
프로젝트,용도별 검색 (의료시설),http://intra.junglim.com:8080/KMS/KMS01041.jsp?MAP_SN=K201107220068&MAP_NM=의료시설&MAP_LVL=2&HIGH_SN=K201107220005&MAP_TEC_FG=C&PATH_NM=설계자료 > 용도별분류 > 의료시설&MAP_PJT_FG=PJT_SRC
프로젝트,용도별 검색 (교육연구시설),http://intra.junglim.com:8080/KMS/KMS01041.jsp?MAP_SN=K201107220069&MAP_NM=교육연구시설&MAP_LVL=2&HIGH_SN=K201107220005&MAP_TEC_FG=C&PATH_NM=설계자료 > 용도별분류 > 교육연구시설&MAP_PJT_FG=PJT_SRC
프로젝트,용도별 검색 (노유자/수련시설),http://intra.junglim.com:8080/KMS/KMS01041.jsp?MAP_SN=K201108100005&MAP_NM=노유자/수련시설&MAP_LVL=2&HIGH_SN=K201107220005&MAP_TEC_FG=C&PATH_NM=설계자료 > 용도별분류 > 노유자/수련시설&MAP_PJT_FG=PJT_SRC
프로젝트,용도별 검색 (운동시설),http://intra.junglim.com:8080/KMS/KMS01041.jsp?MAP_SN=K201107260001&MAP_NM=운동시설&MAP_LVL=2&HIGH_SN=K201107220005&MAP_TEC_FG=C&PATH_NM=설계자료 > 용도별분류 > 운동시설&MAP_PJT_FG=PJT_SRC
프로젝트,용도별 검색 (업무시설),http://intra.junglim.com:8080/KMS/KMS01041.jsp?MAP_SN=K201107260002&MAP_NM=업무시설&MAP_LVL=2&HIGH_SN=K201107220005&MAP_TEC_FG=C&PATH_NM=설계자료 > 용도별분류 > 업무시설&MAP_PJT_FG=PJT_SRC
프로젝트,용도별 검색 (숙박시설),http://intra.junglim.com:8080/KMS/KMS01041.jsp?MAP_SN=K201107260003&MAP_NM=숙박시설&MAP_LVL=2&HIGH_SN=K201107220005&MAP_TEC_FG=C&PATH_NM=설계자료 > 용도별분류 > 숙박시설&MAP_PJT_FG=PJT_SRC
프로젝트,용도별 검색 (공장/창고시설),http://intra.junglim.com:8080/KMS/KMS01041.jsp?MAP_SN=K201107260005&MAP_NM=공장/창고시설&MAP_LVL=2&HIGH_SN=K201107220005&MAP_TEC_FG=C&PATH_NM=설계자료 > 용도별분류 > 공장/창고시설&MAP_PJT_FG=PJT_SRC
프로젝트,용도별 검색 (특수시설(위험물/쓰레기)),http://intra.junglim.com:8080/KMS/KMS01041.jsp?MAP_SN=K201107260007&MAP_NM=특수시설(위험물/쓰레기)&MAP_LVL=2&HIGH_SN=K201107220005&MAP_TEC_FG=C&PATH_NM=설계자료 > 용도별분류 > 특수시설(위험물/쓰레기)&MAP_PJT_FG=PJT_SRC
프로젝트,용도별 검색 (자동차관련시설),http://intra.junglim.com:8080/KMS/KMS01041.jsp?MAP_SN=K201107260008&MAP_NM=자동차관련시설&MAP_LVL=2&HIGH_SN=K201107220005&MAP_TEC_FG=C&PATH_NM=설계자료 > 용도별분류 > 자동차관련시설&MAP_PJT_FG=PJT_SRC
프로젝트,용도별 검색 (동물/식물관련시설),http://intra.junglim.com:8080/KMS/KMS01041.jsp?MAP_SN=K201107260009&MAP_NM=동물/식물관련시설&MAP_LVL=2&HIGH_SN=K201107220005&MAP_TEC_FG=C&PATH_NM=설계자료 > 용도별분류 > 동물/식물관련시설&MAP_PJT_FG=PJT_SRC
프로젝트,용도별 검색 (교정및군사시설),http://intra.junglim.com:8080/KMS/KMS01041.jsp?MAP_SN=K201107260010&MAP_NM=교정및군사시설&MAP_LVL=2&HIGH_SN=K201107220005&MAP_TEC_FG=C&PATH_NM=설계자료 > 용도별분류 > 교정및군사시설&MAP_PJT_FG=PJT_SRC
프로젝트,용도별 검색 (방송통신시설),http://intra.junglim.com:8080/KMS/KMS01041.jsp?MAP_SN=K201108100006&MAP_NM=방송통신시설&MAP_LVL=2&HIGH_SN=K201107220005&MAP_TEC_FG=C&PATH_NM=설계자료 > 용도별분류 > 방송통신시설&MAP_PJT_FG=PJT_SRC
프로젝트,용도별 검색 (묘지관련/장례식장),http://intra.junglim.com:8080/KMS/KMS01041.jsp?MAP_SN=K201107260011&MAP_NM=묘지관련/장례식장&MAP_LVL=2&HIGH_SN=K201107220005&MAP_TEC_FG=C&PATH_NM=설계자료 > 용도별분류 > 묘지관련/장례식장&MAP_PJT_FG=PJT_SRC
프로젝트,용도별 검색 (관광휴게시설),http://intra.junglim.com:8080/KMS/KMS01041.jsp?MAP_SN=K201107260012&MAP_NM=관광휴게시설&MAP_LVL=2&HIGH_SN=K201107220005&MAP_TEC_FG=C&PATH_NM=설계자료 > 용도별분류 > 관광휴게시설&MAP_PJT_FG=PJT_SRC
프로젝트,용도별 검색 (기타시설),http://intra.junglim.com:8080/KMS/KMS01041.jsp?MAP_SN=K201107260016&MAP_NM=기타시설&MAP_LVL=2&HIGH_SN=K201107220005&MAP_TEC_FG=C&PATH_NM=설계자료 > 용도별분류 > 기타시설&MAP_PJT_FG=PJT_SRC
프로젝트,용도별 검색 (복합시설),http://intra.junglim.com:8080/KMS/KMS01041.jsp?MAP_SN=K201107260013&MAP_NM=복합시설&MAP_LVL=2&HIGH_SN=K201107220005&MAP_TEC_FG=C&PATH_NM=설계자료 > 용도별분류 > 복합시설&MAP_PJT_FG=PJT_SRC
프로젝트,발주별 분류 (TK) TurnKey 턴키,http://intra.junglim.com:8080/KMS/KMS01041.jsp?MAP_SN=K201107260020&MAP_NM=TK&MAP_LVL=2&HIGH_SN=K201107260019&MAP_TEC_FG=C&PATH_NM=설계자료 > 발주별분류 > TK&MAP_PJT_FG=PJT_ORD
프로젝트,발주별 분류 (PF),http://intra.junglim.com:8080/KMS/KMS01041.jsp?MAP_SN=K201107260021&MAP_NM=PF&MAP_LVL=2&HIGH_SN=K201107260019&MAP_TEC_FG=C&PATH_NM=설계자료 > 발주별분류 > PF&MAP_PJT_FG=PJT_ORD
프로젝트,발주별 분류 (BTL(O)),http://intra.junglim.com:8080/KMS/KMS01041.jsp?MAP_SN=K201107260022&MAP_NM=BTL(O)&MAP_LVL=2&HIGH_SN=K201107260019&MAP_TEC_FG=C&PATH_NM=설계자료 > 발주별분류 > BTL(O)&MAP_PJT_FG=PJT_ORD
프로젝트,발주별 분류 (PQ),http://intra.junglim.com:8080/KMS/KMS01041.jsp?MAP_SN=K201107260023&MAP_NM=PQ&MAP_LVL=2&HIGH_SN=K201107260019&MAP_TEC_FG=C&PATH_NM=설계자료 > 발주별분류 > PQ&MAP_PJT_FG=PJT_ORD
프로젝트,발주별 분류 (수의),http://intra.junglim.com:8080/KMS/KMS01041.jsp?MAP_SN=K201107260024&MAP_NM=수의&MAP_LVL=2&HIGH_SN=K201107260019&MAP_TEC_FG=C&PATH_NM=설계자료 > 발주별분류 > 수의&MAP_PJT_FG=PJT_ORD
프로젝트,발주별 분류 (현상(일반)),http://intra.junglim.com:8080/KMS/KMS01041.jsp?MAP_SN=K201107260025&MAP_NM=현상(일반)&MAP_LVL=2&HIGH_SN=K201107260019&MAP_TEC_FG=C&PATH_NM=설계자료 > 발주별분류 > 현상(일반)&MAP_PJT_FG=PJT_ORD
프로젝트,발주별 분류 (현상(지명)),http://intra.junglim.com:8080/KMS/KMS01041.jsp?MAP_SN=K201107260026&MAP_NM=현상(지명)&MAP_LVL=2&HIGH_SN=K201107260019&MAP_TEC_FG=C&PATH_NM=설계자료 > 발주별분류 > 현상(지명)&MAP_PJT_FG=PJT_ORD
프로젝트,발주별 분류 (제안경쟁),http://intra.junglim.com:8080/KMS/KMS01041.jsp?MAP_SN=K201107260027&MAP_NM=제안경쟁&MAP_LVL=2&HIGH_SN=K201107260019&MAP_TEC_FG=C&PATH_NM=설계자료 > 발주별분류 > 제안경쟁&MAP_PJT_FG=PJT_ORD
프로젝트,발주별 분류 (기술제안),http://intra.junglim.com:8080/KMS/KMS01041.jsp?MAP_SN=K201302070016&MAP_NM=기술제안&MAP_LVL=2&HIGH_SN=K201107260019&MAP_TEC_FG=C&PATH_NM=설계자료 > 발주별분류 > 기술제안&MAP_PJT_FG=PJT_ORD
프로젝트,발주별 분류 (기타발주),http://intra.junglim.com:8080/KMS/KMS01041.jsp?MAP_SN=K201107260028&MAP_NM=기타발주&MAP_LVL=2&HIGH_SN=K201107260019&MAP_TEC_FG=C&PATH_NM=설계자료 > 발주별분류 > 기타발주&MAP_PJT_FG=PJT_ORD
프로젝트,발주별 분류 (감리(건축법)),http://intra.junglim.com:8080/KMS/KMS01041.jsp?MAP_SN=K201108100007&MAP_NM=감리(건축법)&MAP_LVL=2&HIGH_SN=K201107260019&MAP_TEC_FG=C&PATH_NM=설계자료 > 발주별분류 > 감리(건축법)&MAP_PJT_FG=PJT_ORD
프로젝트,발주별 분류 (감리(건기법)),http://intra.junglim.com:8080/KMS/KMS01041.jsp?MAP_SN=K201108100008&MAP_NM=감리(건기법)&MAP_LVL=2&HIGH_SN=K201107260019&MAP_TEC_FG=C&PATH_NM=설계자료 > 발주별분류 > 감리(건기법)&MAP_PJT_FG=PJT_ORD
프로젝트,발주별 분류 (감리(주택법)),http://intra.junglim.com:8080/KMS/KMS01041.jsp?MAP_SN=K201108100009&MAP_NM=감리(주택법)&MAP_LVL=2&HIGH_SN=K201107260019&MAP_TEC_FG=C&PATH_NM=설계자료 > 발주별분류 > 감리(주택법)&MAP_PJT_FG=PJT_ORD
프로젝트,발주별 분류 (감리(기타)),http://intra.junglim.com:8080/KMS/KMS01041.jsp?MAP_SN=K201108100010&MAP_NM=감리(기타)&MAP_LVL=2&HIGH_SN=K201107260019&MAP_TEC_FG=C&PATH_NM=설계자료 > 발주별분류 > 감리(기타)&MAP_PJT_FG=PJT_ORD
프로젝트,발주별 분류 (CM(공공)),http://intra.junglim.com:8080/KMS/KMS01041.jsp?MAP_SN=K201108100011&MAP_NM=CM(공공)&MAP_LVL=2&HIGH_SN=K201107260019&MAP_TEC_FG=C&PATH_NM=설계자료 > 발주별분류 > CM(공공)&MAP_PJT_FG=PJT_ORD
프로젝트,Summary 검색 ,http://intra.junglim.com/pjtInfo/pjtInfoList.do?USER_ID=solkyu.park
법령정보,J-law 법령정보 가이드,http://intra.junglim.com:8080/JOL/JOL01010_log.jsp?GBN_1=J-LAW(법령정보)&GBN_2=J-LAW(법령정보) 가이드&GBN_4=JATA
법령정보,"대지 및 사업계획, 재영향 평가 관련법","http://intra.junglim.com:8080/KMS/KMS03011.jsp?MAP_SN=K202002120003&MAP_NM=A 대지 및 사업계획, 제영향평가관련법&MAP_LVL=3&HIGH_SN=K202002120001&MAP_TEC_FG=C&PATH_NM=공통기술자료 > J-LAW(법령정보) > J-LAW(법령정보) > A 대지 및 사업계획, 제영향평가관련법"
법령정보,건축관련법,http://intra.junglim.com:8080/KMS/KMS03011.jsp?MAP_SN=K202002120004&MAP_NM=B 건축관련법&MAP_LVL=3&HIGH_SN=K202002120001&MAP_TEC_FG=C&PATH_NM=공통기술자료 > J-LAW(법령정보) > J-LAW(법령정보) > B 건축관련법
법령정보,기타법,http://intra.junglim.com:8080/KMS/KMS03011.jsp?MAP_SN=K202002120005&MAP_NM=C 기타법&MAP_LVL=3&HIGH_SN=K202002120001&MAP_TEC_FG=C&PATH_NM=공통기술자료 > J-LAW(법령정보) > J-LAW(법령정보) > C 기타법
법령정보,건설관련법,http://intra.junglim.com:8080/KMS/KMS03011.jsp?MAP_SN=K202002120007&MAP_NM=K 건설관련법&MAP_LVL=3&HIGH_SN=K202002120001&MAP_TEC_FG=C&PATH_NM=공통기술자료 > J-LAW(법령정보) > J-LAW(법령정보) > K 건설관련법
법령정보,주요법규 검토서,http://intra.junglim.com:8080/KMS/KMS03011.jsp?MAP_SN=K202007020001&MAP_NM=주요 법규검토서&MAP_LVL=2&HIGH_SN=K201307220005&MAP_TEC_FG=C&PATH_NM=공통기술자료 > J-LAW(법령정보) > 주요 법규검토서
법령정보,분야별 법규 검토서,http://intra.junglim.com:8080/KMS/KMS03011.jsp?MAP_SN=K201307220024&MAP_NM=분야별 법규검토서&MAP_LVL=2&HIGH_SN=K201307220005&MAP_TEC_FG=C&PATH_NM=공통기술자료 > J-LAW(법령정보) > 분야별 법규검토서
견적,신규현행자료,http://intra.junglim.com:8080/KMS/KMS03011.jsp?MAP_SN=K201307220030&MAP_NM=신규현행자료&MAP_LVL=2&HIGH_SN=K201307220008&MAP_TEC_FG=C&PATH_NM=공통기술자료 > 견적 > 신규현행자료
견적,기존자료 ,http://intra.junglim.com:8080/KMS/KMS03011.jsp?MAP_SN=K201307220031&MAP_NM=기존자료&MAP_LVL=2&HIGH_SN=K201307220008&MAP_TEC_FG=C&PATH_NM=공통기술자료 > 견적 > 기존자료
친환경,친환경 기술 협업 자료 ,http://intra.junglim.com:8080/KMS/KMS03011.jsp?MAP_SN=K201802060001&MAP_NM=친환경기술협업(SC) 자료&MAP_LVL=2&HIGH_SN=K201307220009&MAP_TEC_FG=C&PATH_NM=공통기술자료 > 친환경 > 친환경기술협업(SC) 자료
친환경,신규현행자료,http://intra.junglim.com:8080/KMS/KMS03011.jsp?MAP_SN=K201307220033&MAP_NM=신규현행자료&MAP_LVL=2&HIGH_SN=K201307220009&MAP_TEC_FG=C&PATH_NM=공통기술자료 > 친환경 > 신규현행자료
친환경,기존자료 ,http://intra.junglim.com:8080/KMS/KMS03011.jsp?MAP_SN=K201307220034&MAP_NM=기존자료&MAP_LVL=2&HIGH_SN=K201307220009&MAP_TEC_FG=C&PATH_NM=공통기술자료 > 친환경 > 기존자료
BIM,신규현행자료,http://intra.junglim.com:8080/KMS/KMS03011.jsp?MAP_SN=K201307220036&MAP_NM=신규현행자료&MAP_LVL=2&HIGH_SN=K201307220010&MAP_TEC_FG=C&PATH_NM=공통기술자료 > BIM > 신규현행자료
BIM,기본교육자료,http://intra.junglim.com:8080/KMS/KMS03011.jsp?MAP_SN=K202001220002&MAP_NM=BIM 기본교육자료&MAP_LVL=2&HIGH_SN=K201307220010&MAP_TEC_FG=C&PATH_NM=공통기술자료 > BIM > BIM 기본교육자료
예약,회의실예약,https://jis.junglim.com/app/asset/10/list/reservation
예약,TF실예약,https://jis.junglim.com/app/asset/20/list/reservation
예약,차량예약,https://jis.junglim.com/app/asset/21/list/reservation
예약,노트북예약,https://jis.junglim.com/app/asset/22/list/reservation
예약,전산장비예약,https://jis.junglim.com/app/asset/23/list/reservation
예약,PC예약,https://jis.junglim.com/app/asset/24/list/reservation
예약,화상회의장비,https://jis.junglim.com/app/asset/30/list/reservation
예약,3d프린터,https://jis.junglim.com/app/asset/42/list/reservation
캘린더,달력,https://jis.junglim.com/app/calendar
캘린더,일정등록,https://jis.junglim.com/app/calendar/regist
예약,법인콘도예약신청서,https://jis.junglim.com/app/docs/detail/341?page=0&offset=20&property=completeDate&direction=desc&searchtype=&keyword=&fromDate=&toDate=&duration=all
예약,개인차량사용신청서,https://jis.junglim.com/app/docs/detail/287?page=0&offset=20&property=completeDate&direction=desc&searchtype=&keyword=&fromDate=&toDate=&duration=all
타임리포트,타임리포트,http://intra.junglim.com:8080//NTR/NTR01010.jsp
타임리포트,개인별연차,http://intra.junglim.com:8080/ATT/ATT01061.jsp
